word,dictionary definition
   dimension,"a measurable extent of a particular kind, such as length, breadth, depth, or height. an aspect or feature of a situation. form or shape (something) to particular measurements"
   toy,"an object for a child to play with, typically a model or miniature replica of something. denoting a diminutive breed or variety of dog. move or handle (an object) absent-mindedly or nervously. consider (an idea or proposal) casually or indecisively"
   prisoner,a person legally committed to prison as a punishment for a crime or while awaiting trial
   fellow,"a man or boy. a person in the same position, involved in the same activity, or otherwise associated with another. a member of a learned society. sharing a particular activity, quality, or condition with someone or something"
   smooth,"having an even and regular surface; free from perceptible projections, lumps, or indentations. (of movement) without jerks. (of an action, event, or process) without problems or difficulties. (of a person or their manner) suavely charming in a way regarded as possibly insincere. (of food or drink) without harshness or bitterness. give (something) a flat, regular surface or appearance. deal successfully with (a problem or difficulty). in a way that is without difficulties"
   nearby,not far away; close. close by
   peer,"look with difficulty or concentration at someone or something. a member of the nobility in Britain or Ireland, comprising the ranks of duke, marquess, earl, viscount, and baron. a person of the same age, status, or ability as another specified person. make or become equal with"
   designer,"a person who plans the look or workings of something prior to it being made, by preparing drawings or plans"
   personnel,people employed in an organization or engaged in an organized undertaking such as military service
   shape,"the external form, contours, or outline of someone or something. a geometric figure such as a square, triangle, or rectangle.. the correct or original form or contours of something. the specified condition or state of someone or something. give a particular shape or form to. (of a sports player or athlete) take up a stance or set oneself to perform a particular action. Supreme Headquarters Allied Powers Europe."
   educator,a person who provides instruction or education; a teacher
   relative,"considered in relation or in proportion to something else. denoting a pronoun, determiner, or adverb that refers to an expressed or implied antecedent and attaches a subordinate clause to it, e.g. which, who.. (of major and minor keys) having the same key signature.. (of a service rank) corresponding in grade to another in a different service.. a person connected by blood or marriage. a relative pronoun, determiner, or adverb.. a term or concept which is dependent on something else."
   immigration,the action of coming to live permanently in a foreign country
   belt,"a strip of leather or other material worn, typically round the waist, to support or hold in clothes or to carry weapons. a continuous band of material used in machinery for transferring motion from one wheel to another. a strip or encircling area that is different in nature or composition from its surroundings. a heavy blow. fasten with a belt. beat or strike (someone), especially with a belt as a punishment. rush or dash in a specified direction"
   teaspoon,a small spoon used typically for adding sugar to and stirring hot drinks or for eating some foods.
   birthday,"the anniversary of the day on which a person was born, typically treated as an occasion for celebration and the giving of gifts"
   implication,the conclusion that can be drawn from something although it is not explicitly stated. the action or state of being involved in something
   perfectly,in a manner or way that could not be better
   coast,"the part of the land adjoining or near the sea. the easy movement of a vehicle without the use of power. (of a person or vehicle) move easily without using power. sail along the coast, especially in order to carry cargo"
   supporter,"a person who approves of and encourages a public figure, political party, policy, etc.. a representation of an animal or other figure, typically one of a pair, holding up or standing beside an escutcheon."
   accompany,go somewhere with (someone) as a companion or escort. be present or occur at the same time as (something else). play a musical accompaniment for
   silver,"a precious shiny greyish-white metal, the chemical element of atomic number 47.. a shiny grey-white colour or appearance like that of silver. silver dishes, containers, or cutlery. coins made from silver or from a metal that resembles silver. coat or plate with silver"
   teenager,a person aged between 13 and 19 years.
   recognition,"identification of someone or something or person from previous encounters or knowledge. acknowledgement of the existence, validity, or legality of something"
   retirement,the action or fact of leaving one's job and ceasing to work. the withdrawal of a jury from the courtroom to decide their verdict.. seclusion
   flag,"a piece of cloth or similar material, typically oblong or square, attachable by one edge to a pole or rope and used as the symbol or emblem of a country or institution or as a decoration during public festivities. a small piece of cloth attached at one edge to a pole and used as a marker or signal in various sports. a variable used to indicate a particular property of the data in a record.. mark (an item) for attention or treatment in a specified way. signal to a vehicle or driver to stop, especially by waving one's arm. provide or decorate with a flag or flags.. a flat stone slab, typically rectangular or square, used for paving.. a plant with sword-shaped leaves that grow from a rhizome.. become tired or less enthusiastic or dynamic"
   recovery,"a return to a normal state of health, mind, or strength. the action or process of regaining possession or control of something stolen or lost. the process of removing or extracting an energy source or industrial chemical for use, reuse, or waste treatment"
   whisper,"speak very softly using one's breath rather than one's throat, especially for the sake of secrecy. a soft or confidential tone of voice; a whispered word or phrase"
   watch,"look at or observe attentively over a period of time. exercise care, caution, or restraint about. remain awake for the purpose of religious observance. a small timepiece worn typically on a strap on one's wrist. an act or instance of carefully observing someone or something over a period of time. a film or programme considered in terms of its appeal to the public. a flock of nightingales"
   gentleman,"a chivalrous, courteous, or honourable man. a polite or formal way of referring to a man"
   corn,"the chief cereal crop of a district, especially (in England) wheat or (in Scotland) oats. something banal or sentimental. a small, painful area of thickened skin on the foot, especially on the toes, caused by pressure."
   moon,"the natural satellite of the earth, visible (chiefly at night) by reflected light from the sun. behave or move in a listless and aimless manner. expose one's buttocks to someone in order to insult or amuse them"
   inner,situated inside or further in; internal. mental or spiritual. the inner part of something
   junior,for or denoting young or younger people. low or lower in rank or status. a person who is a specified number of years younger than someone else. a person with low rank or status compared with others
   rather,"used to indicate one's preference in a particular matter. to a certain or significant extent or degree. used to suggest that the opposite of a previous statement is the case; on the contrary. used to express emphatic affirmation, agreement, or acceptance"
   throat,the passage which leads from the back of the mouth of a person or animal
   salary,"a fixed regular payment, typically paid on a monthly basis but often expressed as an annual sum, made by an employer to an employee, especially a professional or white-collar worker. pay a salary to"
   swing,"move or cause to move back and forth or from side to side while suspended or on an axis. move by grasping a support from below and leaping. move or cause to move in a smooth, curving line. shift or cause to shift from one opinion, mood, or state of affairs to another. play music with a flowing but vigorous rhythm. (of an event, place, or way of life) be lively, exciting, or fashionable.. engage in group sex or swap sexual partners within a group, especially on a habitual basis.. a seat suspended by ropes or chains, on which someone may sit and swing back and forth.. an act of swinging. a discernible change in opinion, especially the amount by which votes or points scored change from one side to another. a style of jazz or dance music with a flowing but vigorous rhythm.. a swift tour involving a number of stops, especially one undertaken as part of a political campaign.. (in musical theatre) an understudy, typically one who covers multiple roles in the chorus of a particular production."
   observer,a person who watches or notices something
   due,expected at or planned for at a certain time. of the proper quality or extent. one's right; what is owed to one. an obligatory payment; a fee. (with reference to a point of the compass) exactly; directly
   straight,"extending or moving uniformly in one direction only; without a curve or bend. properly positioned so as to be level, upright, or symmetrical. not evasive; honest. in continuous succession. (of an alcoholic drink) undiluted; neat. (especially of drama) serious as opposed to comic or musical. (of a person) conventional or respectable. in a straight line; directly. in or into a level, even, or upright position. correctly; clearly. without a break; continuously. a part of something that is not curved or bent, especially a straight section of a racecourse. (in poker) a continuous sequence of five cards.. a conventional person.. (in township slang) a 750 ml bottle of alcoholic drink."
   publication,"the preparation and issuing of a book, journal, or piece of music for public sale"
   pretty,"(of a person, especially a woman or child) attractive in a delicate way without being truly beautiful. used ironically to express annoyance or displeasure. to a moderately high degree; fairly. an attractive thing, especially a trinket. make pretty or attractive"
   crop,"a cultivated plant that is grown on a large scale commercially, especially a cereal, fruit, or vegetable. a group or amount of related people or things appearing or occurring at one time. a hairstyle in which the hair is cut very short. a pouch in a bird's gullet where food is stored or prepared for digestion. the entire tanned hide of an animal.. cut (something, especially a person's hair) very short. harvest (plants or their produce) from a particular area"
   dig,"break up and move earth with a tool or machine, or with hands, paws, snout, etc.. push or poke sharply. like, appreciate, or understand. an act or spell of digging. a push or poke with one's elbow, finger, etc."
   strike,"hit forcibly and deliberately with one's hand or a weapon or other implement. (of a disaster, disease, or other unwelcome phenomenon) occur suddenly and have harmful or damaging effects on. (of a thought or idea) come into the mind of (someone) suddenly or unexpectedly. (of a clock) indicate the time by sounding a chime or stroke. ignite (a match) by rubbing it briskly against an abrasive surface. (of employees) refuse to work as a form of organized protest, typically in an attempt to obtain a particular concession or concessions from their employer. cancel, remove, or cross out with or as if with a pen. make (a coin or medal) by stamping metal. reach, achieve, or agree to (something involving agreement, balance, or compromise). discover (gold, minerals, or oil) by drilling or mining. move or proceed vigorously or purposefully. take down (a tent or the tents of an encampment). insert (a cutting of a plant) in soil to take root. secure a hook in the mouth of a fish by jerking or tightening the line after it has taken the bait or fly.. a refusal to work organized by a body of employees as a form of protest, typically in an attempt to gain a concession or concessions from their employer. a sudden attack, typically a military one. a discovery of gold, minerals, or oil by drilling or mining. a batter's unsuccessful attempt to hit a pitched ball.. the horizontal or compass direction of a stratum, fault, or other geological feature"
   permanent,lasting or intended to last or remain unchanged indefinitely. a perm for the hair
   plant,"a living organism of the kind exemplified by trees, shrubs, herbs, grasses, ferns, and mosses, typically growing in a permanent site, absorbing water and inorganic substances through its roots, and synthesizing nutrients in its leaves by photosynthesis using the green pigment chlorophyll.. a place where an industrial or manufacturing process takes place. a person placed in a group as a spy or informer. a shot in which the cue ball is made to strike one of two touching or nearly touching balls with the result that the second is potted.. put (a seed, bulb, or plant) in the ground so that it can grow. set or place in a particular position"
   phenomenon,"a fact or situation that is observed to exist or happen, especially one whose cause or explanation is in question. a remarkable person or thing. the object of a person's perception."
   anxiety,"a feeling of worry, nervousness, or unease about something with an uncertain outcome. strong desire or concern to do something or for something to happen"
   unlike,different from; not similar to. dissimilar or different from each other. be regarded with distaste or hostility; be unpopular. (in the context of social media) withdraw one's approval of or support for (someone or something one has previously liked) by means of an icon or link
   wet,covered or saturated with water or another liquid. showing a lack of forcefulness or strength of character; feeble. (of a country or region or of its legislation) allowing the free sale of alcoholic drink.. cover or touch with liquid; moisten. liquid that makes something damp. a person lacking forcefulness or strength of character. a person opposed to the prohibition of alcohol.
   literally,in a literal manner or sense; exactly
   resist,"withstand the action or effect of. a resistant substance applied as a coating to protect a surface during a process, for example to prevent dye or glaze adhering"
   convention,"a way in which something is usually done. an agreement between states covering particular matters, especially one less formal than a treaty. a large meeting or conference, especially of members of a political party or a particular profession or group. a bid or system of bidding by which the bidder tries to convey specific information about the hand to their partner, as opposed to seeking to win the auction."
   embrace,"hold (someone) closely in one's arms, especially as a sign of affection. accept (a belief, theory, or change) willingly and enthusiastically. include or contain (something) as a constituent part. an act of holding someone closely in one's arms. an act of accepting something willingly or enthusiastically"
   supply,"make (something needed or wanted) available to someone; provide. take over (a vacant place or role). a stock or amount of something supplied or available for use. a person, especially a schoolteacher, acting as a temporary substitute for another."
   assist,"help (someone), typically by doing a share of the work. an act of giving help, typically by providing money"
   exhibition,"a public display of works of art or items of interest, held in an art gallery or museum or at a trade fair. a display or demonstration of a skill. (in sport) a game whose outcome does not affect a team's standing, typically one played before the start of a regular season. a scholarship awarded to a student at a school or university, usually after a competitive examination"
   construct,"build or make (something, typically a building, road, or machine). an idea or theory containing various conceptual elements, typically one considered to be subjective and not based on empirical evidence"
   viewer,a person who looks at or inspects something. a device for looking at film transparencies or similar photographic images
   pan,"a metal container used for cooking food in. a hollow in the ground in which water may collect or in which a deposit of salt remains after water has evaporated.. a hard stratum of compacted soil. a person's face.. criticize severely. wash gravel in a pan to separate out (gold). swing (a video or film camera) in a horizontal or vertical plane, typically to give a panoramic effect or follow a subject. a panning movement. a god of flocks and herds, typically represented with the horns, ears, and legs of a goat on a man's body. His sudden appearance was supposed to cause terror similar to that of a frightened and stampeding herd, and the word panic is derived from his name."
   consultant,a person who provides expert advice professionally. a hospital doctor of senior rank within a specific field
   soon,in or after a short time. used to indicate one's preference in a particular matter
   line,"a long, narrow mark or band. a length of cord, rope, wire, or other material serving a particular purpose. a horizontal row of written or printed words. a row of people or things. an area or branch of activity. a connected series of military fieldworks or defences facing an enemy force. stand or be positioned at intervals along. mark or cover with lines. cover the inside surface of (a container or garment) with a layer of different material"
   administrator,a person responsible for carrying out the administration of a business or organization. a person who dispenses or administers something
   date,"the day of the month or year as specified by a number. a social or romantic appointment or engagement. establish or ascertain the date of (an object or event). reveal (someone) as being old-fashioned. go out with (someone in whom one is romantically or sexually interested). a sweet, dark brown oval fruit containing a hard stone, usually eaten dried.. a tall palm tree which bears clusters of dates, native to western Asia and North Africa."
   occasionally,at infrequent or irregular intervals; now and then
   mayor,"(in England, Wales, and Northern Ireland) the head of a town, borough, or county council, elected by council members and generally having purely ceremonial duties."
   consideration,"careful thought, typically over a period of time. a payment or reward. importance; esteem."
   CEO,"a chief executive officer, the highest-ranking person in a company or other institution, ultimately responsible for taking managerial decisions."
   secure,"fixed or fastened so as not to give way, become loose, or be lost. certain to remain safe and unthreatened. fix or attach (something) firmly so that it cannot be moved or lost. succeed in obtaining (something), especially with difficulty. protect against threats; make safe"
   pink,"of a colour intermediate between red and white, as of coral or salmon. having or showing left-wing tendencies. of or associated with homosexuals. pink colour, pigment, or material. the best condition or degree. become pink. shear (a sheep) so closely that the colour of the skin is visible. a herbaceous Eurasian plant with sweet-smelling pink or white flowers and slender, typically grey-green leaves.. cut a scalloped or zigzag edge on. decorate. a small square-rigged sailing ship, typically with a narrow, overhanging stern.. (of a vehicle engine) make a series of rattling sounds as a result of over-rapid combustion of the fuel–air mixture in the cylinders. a yellowish lake pigment made by combining vegetable colouring matter with a white base."
   smoke,"a visible suspension of carbon or other particles in air, typically one emitted from a burning substance. an act of smoking tobacco. a big city, especially London. emit smoke or visible vapour. inhale and exhale the smoke of tobacco or a drug. treat, fumigate, or cleanse by exposure to smoke.. kill (someone) by shooting. make fun of (someone)"
   estimate,"roughly calculate or judge the value, number, quantity, or extent of. an approximate calculation or judgement of the value, number, quantity, or extent of something"
   buck,"the male of some horned animals, especially the fallow deer, roe deer, reindeer, and antelopes.. a vertical jump performed by a horse, with the head lowered, back arched, and back legs thrown out behind. a fashionable and spirited young man. (of a horse) to perform a buck. oppose or resist (something oppressive or inevitable). make or become more cheerful. lowest of a particular rank. a dollar. an article placed as a reminder in front of a player whose turn it is to deal at poker."
   historic,"famous or important in history, or potentially so. (of a tense) used in the narration of past events, especially Latin and Greek imperfect and pluperfect."
   poem,"a piece of writing in which the expression of feelings and ideas is given intensity by particular attention to diction (sometimes involving rhyme), rhythm, and imagery"
   grandmother,the mother of one's father or mother
   bind,"tie or fasten (something) tightly together. stick together or cause to stick together in a single mass. cause (people) to feel united. impose a legal or contractual obligation on. fix together and enclose (the pages of a book) in a cover. trim (the edge of a piece of material) with a decorative strip. (of a quantifier) be applied to (a given variable) so that the variable falls within its scope. For example, in an expression of the form ‘For every x, if x is a dog, x is an animal’, the universal quantifier is binding the variable x.. (of a rule or set of grammatical conditions) determine the relationship between (coreferential noun phrases).. a problematical situation. a statutory constraint"
   fifth,constituting number five in a sequence; 5th. each of five equal parts into which something is or may be divided.
   constantly,continuously over a period of time; always
   enterprise,"a project or undertaking, especially a bold or complex one. a business or company"
   favor,"approval, support, or liking for someone or something. an act of kindness beyond what is due or usual. a small inexpensive gift given to guests at a party. feel or show approval or preference for. (often used in polite requests) give someone (something desired). resemble (a parent or other relative) in facial features. treat (an injured limb) gently, not putting one's full weight on it"
   testing,revealing a person's capabilities by putting them under strain; challenging
   stomach,"the internal organ in which the major part of the digestion of food occurs, being (in humans and many mammals) a pear-shaped enlargement of the alimentary canal linking the oesophagus to the small intestine. an appetite for food or drink. consume (food or drink) without feeling or being sick"
   apparent,"clearly visible or understood; obvious. seeming real or true, but not necessarily so"
   weigh,"find out how heavy (someone or something) is, typically using scales. assess the nature or importance of, especially with a view to a decision or action."
   install,"place or fix (equipment or machinery) in position ready for use. place (someone) in a new position of authority, especially with ceremony"
   sensitive,"quick to detect or respond to slight changes, signals, or influences. having or displaying a quick and delicate appreciation of others' feelings. kept secret or with restrictions on disclosure to avoid endangering security. a person who is believed to respond to paranormal influences."
   suggestion,an idea or plan put forward for consideration. something that implies or indicates a certain fact or situation. the action of calling up an idea in someone's mind by associating it with other things
   mail,letters and parcels sent by post. send (a letter or parcel) by post. armour made of metal rings or plates joined together flexibly. clothe or cover with mail
   recipe,"a set of instructions for preparing a particular dish, including a list of the ingredients required"
   reasonable,having sound judgement; fair and sensible. as much as is appropriate or fair; moderate
   preparation,"the action or process of preparing or being prepared for use or consideration. a substance that is specially made up, especially a medicine or food. (in conventional harmony) the sounding of the discordant note in a chord in the preceding chord where it is not discordant, lessening the effect of the discord."
   wooden,made of wood. like or characteristic of wood
   elementary,relating to the rudiments of a subject. not decomposable into elements or other primary constituents.
   concert,"a musical performance given in public, typically by several performers or of several compositions. agreement or harmony. arrange (something) by mutual agreement or coordination"
   aggressive,ready or likely to attack or confront; characterized by or resulting from aggression
   false,not according with truth or fact; incorrect. made to imitate something in order to deceive. illusory; not actually so. disloyal; unfaithful
   intention,a thing intended; an aim or plan. the healing process of a wound.. conceptions formed by directing the mind towards an object.
   channel,"a length of water wider than a strait, joining two larger areas of water, especially two seas.. a band of frequencies used in radio and television transmission, especially as used by a particular station.. a method or system for communication or distribution. an electric circuit which acts as a path for a signal. a tubular passage or duct for liquid. a groove or furrow. direct towards a particular end or object. (of a person) serve as a medium for (a spirit)"
   extreme,"reaching a high or the highest degree; very great. furthest from the centre or a given point. either of two abstract things that are as different from each other as possible. the subject or predicate in a proposition, or the major or minor term in a syllogism (as contrasted with the middle term)."
   tube,"a long, hollow cylinder of metal, plastic, glass, etc. for holding or transporting something, chiefly liquids or gases. a thing in the form of or resembling a tube.. the underground railway system in London. a sealed container, typically of glass and either evacuated or filled with gas, containing two electrodes between which an electric current can be made to flow.. provide with a tube or tubes. fit (a person or animal) with a tube to assist breathing, especially after a laryngotomy.. convey in a tube. travel on the Tube"
   drawing,"a picture or diagram made with a pencil, pen, or crayon rather than paint. an instance of selecting the winner or winners in a lottery or raffle"
   protein,"any of a class of nitrogenous organic compounds which have large molecules composed of one or more long chains of amino acids and are an essential part of all living organisms, especially as structural components of body tissues such as muscle, hair, etc., and as enzymes and antibodies"
   quit,"leave (a place), usually permanently. behave in a specified way. rid of. used in names of various small songbirds found in the Caribbean area, e.g. bananaquit, grassquit."
   absence,the state of being away from a place or person
   roll,"move in a particular direction by turning over and over on an axis. (of a vehicle) move or run on wheels. turn (something flexible) over and over on itself to form a cylinder, tube, or ball. flatten (something) by passing a roller over it or by passing it between rollers. (of a loud, deep sound) reverberate. rob (someone, typically when they are intoxicated or asleep). a cylinder formed by winding flexible material round a tube or by turning it over and over on itself without folding. a movement in which someone or something turns or is turned over on itself. a prolonged, deep, reverberating sound. a very small loaf of bread, to be eaten by one person. an official list or register of names. undulation of the landscape. a roller for flattening something, especially one used to shape metal in a rolling mill."
   Latin,"the language of ancient Rome and its empire, widely used historically as a language of scholarship and administration.. a native or inhabitant of a country whose language developed from Latin, especially a Latin American.. relating to Latin. relating to the countries using languages, such as French and Spanish, that developed from Latin"
   rapidly,very quickly; at a great rate
   jail,a place for the confinement of people accused or convicted of a crime. put (someone) in jail
   comment,a verbal or written remark expressing an opinion or reaction. express an opinion or reaction in speech or writing
   diversity,the state of being diverse
   honest,free of deceit; truthful and sincere. used to persuade someone of the truth of something
   Palestinian,relating to Palestine or its peoples.. a member of the native Arab population of the region of Palestine (including the modern state of Israel).
   pace,"a single step taken when walking or running. speed in walking, running, or moving. walk at a steady speed, especially without a particular destination and as an expression of anxiety or annoyance. move or develop (something) at a particular rate or speed. with due respect to (someone or their opinion), used to express polite disagreement or contradiction. Police and Criminal Evidence Act."
   employment,the state of having paid work. the utilization of something
   speaker,"a person who speaks. the presiding officer in a legislative assembly, especially the House of Commons."
   impression,"an idea, feeling, or opinion about something or someone, especially one formed without conscious thought or on the basis of little evidence. an imitation of a person or thing, done to entertain. a mark impressed on a surface. the printing of a number of copies of a book, periodical, or picture for issue at one time.. an instance of a pop-up or other online advertisement being seen on an Internet user's monitor."
   essay,a short piece of writing on a particular subject.. an attempt or effort. attempt or try
   respondent,"a party against whom a petition is filed, especially one in an appeal or a divorce case.. a person who replies to something, especially one supplying information for a questionnaire or responding to an advertisement. in the position of a party defending against a petition. replying to something. involving or denoting a response, especially a conditioned reflex, to a specific stimulus."
   giant,"an imaginary or mythical being of human form but superhuman size.. a star of relatively great size and luminosity compared to ordinary stars of the main sequence, and 10–100 times the diameter of the sun.. of very great size or force; gigantic"
   cake,"an item of soft sweet food made from a mixture of flour, fat, eggs, sugar, and other ingredients, baked and sometimes iced or decorated. an item of savoury food formed into a flat round shape, and typically baked or fried. (of a thick or sticky substance that hardens when dry) cover and become encrusted on (the surface of an object)"
   historian,"an expert in or student of history, especially that of a particular period, geographical region, or social phenomenon"
   negotiate,"obtain or bring about by discussion. find a way over or through (an obstacle or difficult route). transfer (a cheque, bill, or other document) to the legal ownership of another person, who thus becomes entitled to any benefit."
   restore,"bring back or re-establish (a previous right, practice, or situation)"
   substantial,"of considerable importance, size, or worth. concerning the essentials of something. real and tangible rather than imaginary"
   pop,"make or cause to make a light explosive sound. go somewhere for a short time, often without notice. (of a person's eyes) open wide and appear to bulge, especially with surprise. appear brighter or more striking in juxtaposition with something of a different or complementary colour. take or inject (a drug). pawn (something). a light explosive sound. a sweet fizzy drink such as lemonade. a patch of bright colour. a ball hit high in the air but not far from the home plate, providing an easy catch. with a light explosive sound. relating to commercial popular music. (especially of a scientific or academic subject) made accessible to the general public; popularized. commercial popular music, in particular accessible, tuneful music of a kind popular since the 1950s and sometimes contrasted with rock, soul, or other forms of popular music. Nan. a piece of flavoured ice or ice cream on a stick. persistent organic pollutant.. point of presence, denoting equipment that provides access to the Internet.. (in the UK) Post Office Preferred, used to specify the size of envelopes and other items.. Post Office Protocol."
   particular,"used to single out an individual member of a specified group or class. especially great or intense. insisting that something should be correct or suitable in every detail; fastidious. a detail. an individual item, as contrasted with a universal quality"
   specialist,a person who concentrates primarily on a particular subject or activity; a person highly skilled in a specific and restricted field. possessing or involving detailed knowledge or study of a restricted topic
   origin,"the point or place where something begins, arises, or is derived. the more fixed end or attachment of a muscle.. a fixed point from which coordinates are measured."
   approval,the action of approving something
   mine,"used to refer to a thing or things belonging to or associated with the speaker. (used before a vowel) my. an excavation in the earth for extracting coal or other minerals. a type of bomb placed on or just below the surface of the ground or in the water, which detonates on contact with a person, vehicle, or ship. obtain (coal or other minerals) from a mine. lay explosive mines on or just below the surface of (the ground or water)"
   quietly,in a quiet manner
   advise,offer suggestions about the best course of action to someone
   conventional,based on or in accordance with what is generally done or believed. (of a bid) intended to convey a particular meaning according to an agreed convention
   drop,"let or make (something) fall vertically. fall vertically. make or become lower, weaker, or less. abandon or discontinue (a course of action or study). set down or unload (a passenger or goods), especially on the way to somewhere else. (in sport) fail to win (a point or a match). force or be forced to play (a relatively high card) as a loser under an opponent's higher card, because it is the only card in its suit held in the hand. a small round or pear-shaped portion of liquid that hangs or falls or adheres to a surface. an instance of falling or dropping. a delivery. a small, round sweet or lozenge. an earring that hangs down from the earlobe. a section of theatrical scenery lowered from the flies; a drop cloth or drop curtain.. a trapdoor on a gallows, the opening of which causes the prisoner to fall and thus be hanged"
   count,"determine the total number of (a collection of items). take into account; include. be significant. an act of determining the total number of something. an act of reciting numbers in ascending order, up to the specified number. a point for discussion or consideration. the measure of the fineness of a yarn expressed as the weight of a given length or the length of a given weight.. a foreign nobleman whose rank corresponds to that of an earl."
   depth,the distance from the top or surface to the bottom of something. the quality of being intense or extreme. a point far below the surface
   wealth,an abundance of valuable possessions or money. a plentiful supply of a particular desirable thing. well-being.
   disability,"a physical or mental condition that limits a person's movements, senses, or activities. a disadvantage or handicap, especially one imposed or recognized by the law"
   shell,"the hard protective outer case of a mollusc or crustacean. an explosive artillery projectile or bomb. something resembling or likened to a shell because of its shape or its function as an outer case. the metal framework of a vehicle body.. a light racing boat.. an inner or roughly made coffin.. the hand guard of a sword.. each of a set of orbitals around the nucleus of an atom, occupied or able to be occupied by electrons of similar energies. bombard with shells. remove the shell or pod from (a nut or seed)"
   general,"affecting or concerning all or most people or things; widespread. considering or including only the main features or elements of something; not exact or detailed. chief or principal. a commander of an army, or an army officer of very high rank.. the general public."
   criticize,indicate the faults of (someone or something) in a disapproving way. form and express a judgement of (a literary or artistic work)
   fast,"moving or capable of moving at high speed. (of a clock or watch) showing a time ahead of the correct time. firmly fixed or attached. (of a film) needing only a short exposure. (of a dye) not fading in light or when washed. engaging in or involving activities characterized by excitement, extranvagance, and risk-taking. (of a person) prone to act in an unacceptably familiar way. at high speed. so as to be hard to move; securely. so as to be hard to wake. abstain from all or some kinds of food or drink, especially as a religious observance. an act or period of fasting"
   professional,relating to or belonging to a profession. engaged in a specified activity as one's main paid occupation rather than as an amateur. a person engaged or qualified in a profession
   effectively,in such a manner as to achieve a desired result
   biological,"relating to biology or living organisms.. (of a member of a person's family) genetically related; related by blood. a substance of biological origin used as a drug, vaccine, pesticide, etc."
   pack,"a small cardboard or paper container and the items contained within it. a group of wild animals, especially wolves, living and hunting together. a rucksack. an expanse of large pieces of floating ice driven together into a nearly continuous mass, as occurs in polar seas.. a hot or cold pad of absorbent material, especially as used for treating an injury.. fill (a suitcase or bag) with clothes and other items needed for travel. cram a large number of things into. (of players) form a scrum. carry (a gun). fill (a jury, committee, etc.) with people likely to support a particular verdict or decision"
   onion,"a swollen edible bulb used as a vegetable, having a pungent taste and smell and composed of several concentric layers. the plant that produces the onion, with long rolled or straplike leaves and spherical heads of greenish-white flowers."
   deputy,a person who is appointed to undertake the duties of a superior in the superior's absence
   flat,"having a level surface; without raised areas or indentations. lacking emotion; dull and lifeless. (of a sparkling drink) having lost its effervescence. (of a fee, wage, or price) the same in all cases, not varying with changed conditions or in particular cases. (of musical sound) below true or normal pitch.. relating to flat racing. in or to a horizontal position. completely; absolutely. below the true or normal pitch of musical sound. the flat part of something. an upright section of stage scenery mounted on a movable frame.. a flat tyre. flat racing.. a musical note lowered a semitone below natural pitch.. lower (a note) by a semitone. make flat; flatten. a set of rooms forming an individual residence, typically on one floor and within a larger building containing a number of such residences.. live in or share a flat"
   brand,a type of product manufactured by a particular company under a particular name. an identifying mark burned on livestock or (especially in former times) criminals or slaves with a branding iron. a piece of burning or smouldering wood. a sword.. mark with a branding iron. assign a brand name to.
   assure,tell someone something positively to dispel any doubts. make (something) certain to happen. cover (a life) by assurance
   mad,mutual (or mutually) assured destruction.. Moroccan dirham(s).. mentally ill; insane. very enthusiastic about someone or something. very angry. great; remarkable. very; extremely. make (someone) mad
   award,"give or order the giving of (something) as an official payment, compensation, or prize to (someone). a prize or other mark of recognition given in honour of an achievement"
   criteria,a principle or standard by which something may be judged or decided.
   dealer,a person who buys and sells goods. the player who distributes the cards at the start of a game.
   via,travelling through (a place) en route to a destination
   alternative,(of one or more things) available as another possibility or choice. relating to activities that depart from or challenge traditional norms. one of two or more available possibilities
   utility,"the state of being useful, profitable, or beneficial. an organization supplying the community with electricity, gas, water, or sewerage.. a utility program. a utility vehicle.. useful, especially through being able to perform several functions. functional rather than attractive"
   precisely,in exact terms; without vagueness
   arise,"(of a problem, opportunity, or situation) emerge; become apparent. get or stand up"
   armed,"equipped with or carrying a firearm or firearms. having claws, a beak, etc. of a specified tincture"
   nevertheless,in spite of that; notwithstanding; all the same
   highway,"a main road, especially one connecting major towns or cities"
   clinical,relating to the observation and treatment of actual patients rather than theoretical or laboratory studies. very efficient and without feeling; coldly detached
   routine,a sequence of actions regularly followed. performed as part of a regular procedure rather than for a special reason. organize according to a routine
   schedule,"a plan for carrying out a process or procedure, giving lists of intended events and times. an appendix to a formal document or statute, especially as a list, table, or inventory. (with reference to the British system of income tax) any of the forms (named ‘A’, ‘B’, etc.) issued for completion and relating to the various classes into which taxable income is divided.. arrange or plan (an event) to take place at a particular time. include (a building or site) in a list for legal preservation or protection"
   wage,"a fixed regular payment earned for work or services, typically paid on a daily or weekly basis. carry on (a war or campaign)"
   normally,under normal or usual conditions; as a rule. in a normal manner. at right angles to a given line or surface.
   phrase,"a small group of words standing together as a conceptual unit, typically forming a component of a clause. put into a particular form of words"
   ingredient,any of the foods or substances that are combined to make a particular dish
   stake,"a strong wooden or metal post with a point at one end, driven into the ground to support a plant, form part of a fence, mark a boundary, etc.. a metalworker's small anvil, typically with a projection for fitting into a socket on a bench.. a territorial division of the Mormon Church under the jurisdiction of a president.. support (a plant) with a stake or stakes. mark an area with stakes so as to claim ownership of it. a sum of money or something else of value gambled on the outcome of a risky game or venture. gamble (money or something else of value) on the outcome of a game or race. give financial or other support to"
   Muslim,a follower of the religion of Islam.. relating to Muslims or their religion.
